Pergunta;Alternativa 1;Alternativa 2;Alternativa 3;Alternativa 4;Resposta correta (numero)
O uso correto dos Equipamentos de Proteção Individual (EPIs) é responsabilidade:;Exclusiva do empregador;Do trabalhador, que deve usá-los, conservá-los e comunicar qualquer dano;Apenas do setor de compras;De ninguém, pois o uso é opcional;2
As Normas Regulamentadoras (NRs) têm como principal finalidade:;Aumentar a burocracia das empresas;Estabelecer requisitos de segurança e saúde para prevenir acidentes e doenças do trabalho;Definir o salário dos trabalhadores;Regular apenas o horário de almoço;2
Ao identificar uma condição insegura no ambiente de trabalho, o profissional deve:;Ignorar e continuar a tarefa;Comunicar imediatamente o responsável e, se necessário, interromper a atividade;Resolver sozinho sem avisar ninguém;Esperar o fim do expediente para relatar;2
O que significa a sigla CA presente nos EPIs?;Controle de Acidentes;Certificado de Aprovação, emitido pelo órgão competente;Comissão de Avaliação;Cadastro do Aparelho;2
Em caso de acidente de trabalho, a primeira medida recomendada é:;Isolar a área, prestar/solicitar os primeiros socorros e acionar a emergência;Remover a vítima rapidamente sem qualquer cuidado;Continuar trabalhando normalmente;Apagar os registros do ocorrido;1
A partir de qual altura a NR-35 considera trabalho em altura?;Acima de 1,50 m;Acima de 2,00 m;Acima de 3,00 m;Acima de 5,00 m;2
Qual é a principal finalidade da CIPA, segundo a NR-05?;Fiscalizar a jornada de trabalho;A prevenção de acidentes e doenças do trabalho, preservando a vida e a saúde do trabalhador;Substituir o setor de Recursos Humanos;Organizar confraternizações internas;2
O procedimento de Bloqueio e Etiquetagem (LOTO) tem como objetivo:;Acelerar a manutenção das máquinas;Controlar energias perigosas, impedindo o acionamento acidental durante a manutenção;Reduzir o consumo de energia elétrica;Organizar as ferramentas do setor;2
Segundo a NR-01, a Ordem de Serviço sobre segurança e saúde no trabalho deve ser:;Opcional para o empregador;Dada por escrito ao trabalhador, informando os riscos e as medidas de prevenção;Apenas verbal e informal;Entregue somente aos gestores;2
Diante de um princípio de incêndio de pequena proporção, a ação correta é:;Usar o extintor adequado à classe do fogo e acionar a brigada/emergência;Jogar água em qualquer tipo de incêndio;Abrir todas as janelas e portas para ventilar;Esconder o foco para não causar pânico;1
